Country	News Portal Link	Notes
Global	http://feeds.feedburner.com/adb_news	Asian Development Bank (ADB)
Argentina	https://www.batimes.com.ar/feed	batimes.com.ar
Argentina	https://en.mercopress.com/rss/	en.mercopress.com
Argentina	https://www.thebubble.com/feed	thebubble.com
Argentina	https://argentinareports.com/rss	argentinareports.com
Australia	https://www.afr.com/feed	afr.com
Australia	https://www.theaustralian.com.au/feed	theaustralian.com.au
Australia	https://www.smartcompany.com.au/feed/	smartcompany.com.au
Australia	https://www.abc.net.au/feed	abc.net.au
Austria	https://www.vienna.at/feed	vienna.at
Azerbaijan	https://www.azernews.az/feed	azernews.az
Azerbaijan	https://en.trend.az/rss	en.trend.az
Azerbaijan	https://apa.az/rss	apa.az
Azerbaijan	https://www.turan.az/feed	turan.az
Azerbaijan	https://keysolutions.uk.com/feed/	caspianenergy.net
Bahrain	https://www.gdnonline.com/feed	gdnonline.com
Bahrain	https://www.bahrainthismonth.com/feed	bahrainthismonth.com
Bahrain	https://www.bizbahrain.com/feed/	bizbahrain.com
Bangladesh	https://www.thedailystar.net/rss.xml	thedailystar.net
Bangladesh	https://thefinancialexpress.com.bd/feed	thefinancialexpress.com.bd
Bangladesh	https://www.tbsnews.net/rss.xml	tbsnews.net
Bangladesh	https://www.dhakatribune.com/feed/business	dhakatribune.com
Belgium	https://www.brusselstimes.com/feed	brusselstimes.com
Belgium	https://www.vrt.be/feed	vrt.be
Belgium	https://www.politico.eu/feed/	politico.eu
Belgium	https://www.xpats.com/rss.xml	xpats.com
Bhutan	https://kuenselonline.com/feed	kuenselonline.com
Bhutan	https://thebhutanese.bt/feed/	thebhutanese.bt
Bhutan	https://businessbhutan.bt/feed/	businessbhutan.bt
Brazil	https://www.riotimesonline.com/feed/	riotimesonline.com
Brazil	https://braziljournal.com/feed	braziljournal.com
Brazil	https://www1.folha.uol.com.br/feed	www1.folha.uol.com.br
Brazil	https://agenciabrasil.ebc.com.br/rss.xml	agenciabrasil.ebc.com.br
Brazil	https://www.valor.com.br/rss	valor.com.br
Cambodia	https://phnompenhpost.com/feed/	phnompenhpost.com
Cambodia	https://cambodiainvestmentreview.com/feed/	cambodiainvestmentreview.com
Cambodia	https://www.kiripost.com/feed	kiripost.com
Canada	https://financialpost.com/rss	financialpost.com
Canada	https://www.theglobeandmail.com/feed	theglobeandmail.com
Canada	https://www.bnnbloomberg.ca/feed	bnnbloomberg.ca
Canada	http://www.thestar.com/search/?f=rss&t=article&c=business&l=50&s=start_time&sd=desc	thestar.com
Canada	https://www.canadianbusiness.com/rss	canadianbusiness.com
China	https://www.caixinglobal.com/feed	caixinglobal.com
China	https://www.scmp.com/rss/92/feed	scmp.com
China	https://www.shine.cn/feed	shine.cn
China	https://www.chinadaily.com.cn/feed	chinadaily.com.cn
China	https://www.yicaiglobal.com/feed	yicaiglobal.com
Croatia	https://total-croatia-news.com/feed/	total-croatia-news.com
Croatia	https://www.croatiaweek.com/category/business/feed/	croatiaweek.com
Croatia	https://n1info.hr/feed	n1info.hr
Cuba	https://havanatimes.org/rss	havanatimes.org
Cuba	https://oncubanews.com/rss	oncubanews.com
Cuba	https://en.granma.cu/feed	en.granma.cu
Denmark	https://cphpost.dk/feed	cphpost.dk
Denmark	https://feeds.thelocal.com/rss/dk	thelocal.dk
Denmark	https://scandasia.com/feed/	scandasia.com
Estonia	https://news.err.ee/rss	news.err.ee
Estonia	https://www.baltictimes.com/rss	baltictimes.com
Estonia	https://estonianworld.com/feed/	estonianworld.com
Estonia	https://investinestonia.com/feed	investinestonia.com
Finland	https://yle.fi/feed	yle.fi
Finland	https://www.helsinkitimes.fi/feed	helsinkitimes.fi
Finland	https://www.goodnewsfinland.com/feed	goodnewsfinland.com
Finland	https://www.dailyfinland.fi/feed	dailyfinland.fi
France	https://www.france24.com/en/business-tech/rss	france24.com
France	https://www.rfi.fr/rss	rfi.fr
France	https://feeds.thelocal.com/rss/fr	thelocal.fr
France	https://www.lemonde.fr/feed	lemonde.fr
France	https://www.frenchtechjournal.com/latest/rss/	frenchtechjournal.com
Georgia	https://civil.ge/rss	civil.ge
Georgia	https://agenda.ge/feed	agenda.ge
Georgia	https://www.financial.ge/feed	financial.ge
Georgia	http://georgiatoday.ge/feed	georgiatoday.ge
Germany	https://www.handelsblatt.com/contentexport/feed/rss/schlagzeilen	handelsblatt.com
Germany	https://www.dw.com/feed	dw.com
Germany	https://www.cleanenergywire.org/rss.xml	cleanenergywire.org
Germany	https://www.munich-startup.de/feed	munich-startup.de
Ghana	https://www.graphic.com.gh/business.feed?type=rss	graphic.com.gh
Ghana	https://citibusinessnews.com/feed	citibusinessnews.com
Ghana	https://thebftonline.com/feed/	thebftonline.com
Ghana	https://www.myjoyonline.com/feed/	myjoyonline.com
Ghana	https://www.ghanaweb.com/feed	ghanaweb.com
Greece	https://www.ekathimerini.com/feed	ekathimerini.com
Greece	https://www.naftemporiki.gr/feed/	naftemporiki.gr
Greece	https://greekreporter.com/feed/	greekreporter.com
Greece	https://www.capital.gr/rss	capital.gr
Guinea	https://www.businessinguinea.com/feed	businessinguinea.com
Guinea	https://www.mining.com/rss	mining.com
Hungary	https://bbj.hu/feed	bbj.hu
Hungary	https://www.portfolio.hu/en/rss/all.xml	portfolio.hu
Hungary	https://hungarytoday.hu/rss	hungarytoday.hu
Hungary	https://dailynewshungary.com/feed/	dailynewshungary.com
Iceland	https://icelandmonitor.mbl.is/rss	icelandmonitor.mbl.is
Iceland	https://www.icelandreview.com/rss	icelandreview.com
Iceland	https://www.businessiceland.is/feed	businessiceland.is
Iceland	https://www.northstack.is/rss/	northstack.is
India	https://economictimes.indiatimes.com/feed	economictimes.indiatimes.com
India	https://www.livemint.com/feed	livemint.com
India	https://www.business-standard.com/feed	business-standard.com
India	https://www.moneycontrol.com/rss/latestnews.xml	moneycontrol.com
India	https://www.thehindubusinessline.com/feeder/default.rss	thehindubusinessline.com
Indonesia	https://www.thejakartapost.com/feed	thejakartapost.com
